   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   29   21   77 
   1    5   17    9   21   29   77 
   1    5    9   17   21   29   77 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   77 
   1    5   17    9   21   29   77 
   1    5    9   17   21   29   77 
   1    9    5   17   21   29   77 
   1    9    5   17   21   29   77 
   1    9    5   17   21   29   77 
   1    5    9   17   21   29   77 
   1    5    9   17   21   29   77 
   1    5    9   17   21   29   77 
   1    5    9   17   21   29   69   25   68   77   81   80 
   1    5    9   17   21   29   69   25   68   77   81   80 
   1    5    9   17   21   29   77 
   1    5    9   17   21   29   77 
   1    5    9   17   21   29   77 
   1    9    5   17   21   29   77 
   1    5   17    9   21   29   77 
   1    9   17    5   21   29   77 
   1    5   21   17    9   29   69   25   68   77   81   80 
   1    9   17   21    5   29   77 
   1    9   17   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5   17    9   21   29   69   25   68   77   81   80 
   1    5    9   17   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9    5   17   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9    5   17   21   29   69   25   68   77   81   80 
   1    9    5   17   21   29   69   25   68   77   81   80 
   1    9    5   17   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1    9   17    5   21   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1    9   17   21    5   29   69   25   68   77   81   80 
   1   17   21    5    9   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9    5   21   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   25   69   68   77   81   80 
   1    9   21   17    5   29   25   69   68   77   81   80 
   1    9   21   17    5   29   25   69   68   77   81   80 
   1    9   21   17    5   29   25   69   68   77   81   80 
   1    9   21   17    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1    9   21   17    5   29   69   25   68   77   81   80 
   1   21    9   17    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   21   17    9    5   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   21   17    5    9   29   69   25   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   21   17    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   25   69   68   77   81   80 
   1   17   21    9    5   29   69   25   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1   17    9   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   68   77   81   80 
   1    9   17   21    5   29   25   69   77   68   81   80 
   1    9   17   21    5   29   25   69   77   68   81   80 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   17   21    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   17   21   29    5   77 
   1    9   21   17   29    5   77 
   1    9   17   21   29    5   77 
   1   21    9   17   29    5   77 
   1    9   17   21   29    5   77 
   1   17   21    9   29    5   77 
   1    9   17   21   29    5   25   69   68   77   81   80 
   1    9   21   17   29    5   25   69   68   77   81   80 
   1    9   21   17   29    5   25   69   68   77   81   80 
   1    9   21   17   29    5   25   69   68   77   81   80 
   1    9   21   17   29    5   25   69   68   77   81   80 
   1    9   17   21   29    5   25   69   68   77   81   80 
   1   21    9   17   29    5   25   69   77   68   81   80 
   1    9   21   17   29    5   25   69   77   68   81   80 
   1    9   21   17   29    5   25   69   77   68   81   80 
   1    9   21   17   29    5   25   77   69   68   81   80 
   1    9   21   17   29    5   25   77   69   68   81   80 
   1    9   21   17   29    5   25   77   69   68   81   80 
   1    9   21   17   29    5   25   77   69   68   81   80 
   1    9   21   17   29    5   25   77   69   68   81   80 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1    9   21   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17    5   29   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21    9   17   29    5   77 
   1   21   17    9   29    5   77 
   1   21   17    9   29    5   77 
   1   17   21    9   29    5   77 
   1   17   21    9   29    5   77 
   1   17   21    9   29    5   77 
   1   17   21    9   29    5   77 
   1   17   21    9   29    5   77 
   1    9   17   21   29    5   77 
   1    9   17   21    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1    9   21   17    5   29   77 
   1   21    9   17    5   29   77 
   1    9   21   17    5   29   77 
   1   21    9   17    5   29   77 
   1    9   21   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1    9   21   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17    9   21    5   29   77 
   1   17   21    9    5   29   77 
   1   17    9   21    5   29   77 
   1    9   17   21    5   29   77 
   1    9   17   21    5   29   77 
   1    9   17   21    5   29   77 
   1    9   17   21    5   29   77 
   1    9   17   21    5   29   77 
   1    9   21   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21    9   17    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   21   17    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17    9   21    5   29   77 
   1   17   21    9    5   29   77 
   1   17    9   21   29    5   77 
   1   17    9   21   29    5   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   21   17    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   17   21    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
   1   21   17    9    5   29   77 
